Country,USD Total
Australia,9746868.75
Austria,14471519.94
Belgium,10680389.2
Bulgaria,2887875
Croatia,307703518.5
Cyprus,1005125
Czech Republic ,661937.5
Denmark,29327914.38
Egypt,584375
Estonia,2019207.94
Finland,10739983.75
France,330521884.1
French Southern Territories,138125
Germany,396388722.6
Greece,98654962.5
Hungary,233537.5
Ireland,958748.75
Italy,592043628.6
Latvia,1473581.25
Lebanon,340000
Lithuania,658218.75
Malta,48461740.64
Monaco,22787437.5
Montenegro,19531006.25
Morocco,398437.5
Netherlands,324647475.8
Norway,962625
Philippines,4837562.5
Poland,8532468.58
Portugal,38339769.02
Romania,62156.25
Russia,6683231.25
Serbia,12750
Seychelles,402687.5
Slovakia,264498.78
Slovenia,10966625.63
Spain,369650032
Sweden,5828300
Switzerland,124334326.9
Taiwan,4515625
Thailand,6006312.5
Turkey,61179960.39
United Kingdom,122619250
Ukraine,865937.5
United Arab Emirates,154946287.5
United States,5934345
Venezuala,1264375
Vienna,137806.25
